"study_id","short_name","arm_label","node","n_randomized_or_analyzed","risk_mapping_v0.2","death_7d_n","death_followup_n","clinical_deterioration_n","primary_clinical_composite_n","major_bleeding_n","major_bleeding_definition","intracranial_hemorrhage_n","recurrent_pe_n","rv_lv_or_rv_recovery_locked","follow_up_locked","locked_status_v0.2","ready_death_nma","ready_clinical_deterioration_nma","ready_major_bleeding_nma","ready_ich_nma","source_note_v0.2","n","event"
"MAPPET3_2002","MAPPET-3","Heparin + alteplase","ST",118,"submassive PE; intermediate-risk by RV dysfunction/PH/ECG strain, biomarker not required",NA,4,12,13,1,"Author-defined major bleeding",0,4,NA,"in-hospital or day 30","core locked","yes","yes","yes","yes","Table 2: primary 13, death 4, escalation 12, recurrent PE 4, major bleeding 1, hemorrhagic stroke 0.",118,0
"MAPPET3_2002","MAPPET-3","Heparin + placebo","AC",138,"submassive PE; intermediate-risk by RV dysfunction/PH/ECG strain, biomarker not required",NA,3,34,34,5,"Author-defined major bleeding",0,4,NA,"in-hospital or day 30","core locked","yes","yes","yes","yes","Table 2: primary 34, death 3, escalation 34, recurrent PE 4, major bleeding 5, hemorrhagic stroke 0.",138,0
"CDT_PILOT_2022","EuroIntervention pilot CDT","CDT alteplase 20 mg","CDT",12,"intermediate-high PE",NA,NA,NA,NA,0,"No intracranial/life-threatening BARC type 5 or 3c bleeding",0,NA,NA,"24/48/72h","partial locked; primary composite exact count pending","no","no","yes","yes","Abstract/results: no intracranial or life-threatening bleeding; one local BARC 2 access hematoma in CDT arm; exact clinical efficacy counts pending.",12,0
"CDT_PILOT_2022","EuroIntervention pilot CDT","Standard anticoagulation","AC",11,"intermediate-high PE",NA,NA,NA,NA,0,"No intracranial/life-threatening BARC type 5 or 3c bleeding",0,NA,NA,"24/48/72h","partial locked; primary composite exact count pending","no","no","yes","yes","Abstract/results: no intracranial or life-threatening bleeding; bleeding count not major/life-threatening.",11,0
"FASULLO_2011","Fasullo 2011","Thrombolysis + heparin","ST",37,"submassive PE with RVD; biomarker mixed/unclear",NA,0,0,NA,2,"Author-defined major bleeding",0,0,"RV function improved earlier; detailed echo table locked in source","10 days and 180 days","core locked","yes","yes","yes","yes","Tables 4/6: in-hospital death 0, recurrent PE 0, major bleeding 2; total death 0; text: no intracranial bleeding in thrombolysis.",37,0
"FASULLO_2011","Fasullo 2011","Heparin/placebo","AC",35,"submassive PE with RVD; biomarker mixed/unclear",NA,5,2,NA,1,"Author-defined major bleeding",0,4,NA,"10 days and 180 days","core locked","yes","yes","yes","yes","Table 4: death 5, recurrent fatal PE 3, irreversible RVD 2, major bleeding 1; Table 6 total death 6 and recurrent fatal PE 4 through 180d.",35,0
"SINHA_2017","Sinha 2017","Tenecteplase + UFH","ST",45,"submassive/intermediate-risk; RV dysfunction and/or biomarkers; all had myocardial injury",2,2,2,2,1,"Author-defined major bleeding",1,2,"Baseline RV/LV 1.14+/-0.11; RV function improvement 31/45","7 and 30 days","core locked","yes","yes","yes","yes","Table 3: primary 2, death 2, hemodynamic decompensation 2, recurrent PE 2, major bleeding 1, hemorrhagic stroke 1.",45,1
"SINHA_2017","Sinha 2017","Placebo + UFH","AC",41,"submassive/intermediate-risk; RV dysfunction and/or biomarkers; all had myocardial injury",2,2,8,8,1,"Author-defined major bleeding",0,1,"Baseline RV/LV 1.16+/-0.14; RV function improvement 16/41","7 and 30 days","core locked","yes","yes","yes","yes","Table 3: primary 8, death 2, hemodynamic decompensation 8, recurrent PE 1, major bleeding 1, hemorrhagic stroke 0.",41,0
"ZHANG_2018","Zhang 2018","Low-dose rt-PA + LMWH","ST",33,"acute intermediate-risk PE; low-dose ST sensitivity",NA,0,0,NA,0,"Author-defined major bleeding",0,1,"1.26+/-0.22 to 0.96+/-0.18 at 24h","90 days","core locked","yes","yes","yes","yes","Safety outcomes: at 90 days no deaths and no major bleeding among 66; no hemodynamic decompensation and 1 recurrent VTE in rt-PA group.",33,0
"ZHANG_2018","Zhang 2018","LMWH","AC",33,"acute intermediate-risk PE",NA,0,3,NA,0,"Author-defined major bleeding",0,2,"1.22+/-0.19 to 1.17+/-0.21 at 24h","90 days","core locked","yes","yes","yes","yes","Safety outcomes: 3 hemodynamic decompensation and 2 recurrent VTE in LMWH group; no deaths and no major bleeding among 66.",33,0
"AHMED_2018","Ahmed 2018","Streptokinase + anticoagulation","ST",24,"submassive PE causing RV dysfunction; biomarker criteria stated in discussion",NA,NA,NA,NA,0,"Author-defined major bleeding",0,NA,"PASP 51.54+/-6.95 to 39.08+/-3.83 at 72h; PH endpoint 12/24","72h; hospital stay","partial locked; mortality not reported as event count","no","no","yes","yes","Table 3: endpoint pulmonary hypertension 12/24; no bleeding detected in both groups; death count not explicitly reported.",24,0
"AHMED_2018","Ahmed 2018","Anticoagulation","AC",28,"submassive PE causing RV dysfunction; biomarker criteria stated in discussion",NA,NA,NA,NA,0,"Author-defined major bleeding",0,NA,"PASP 47.92+/-8.02 to 46.5+/-7.22 at 72h; PH endpoint 24/28","72h; hospital stay","partial locked; mortality not reported as event count","no","no","yes","yes","Table 3: endpoint pulmonary hypertension 24/28; no bleeding detected in both groups; death count not explicitly reported.",28,0
